"SYMBOL","UNIPROT"
"C7","P10643"
"C7","Q05CI3"
"CLU","P10909"
"CLU.1",NA
"MBL2","P11226"
"MTHFD1","P11586"
"CETP","A0A0S2Z3F6"
"CETP","P11597"
"CETP","A0A0S2Z3I8"
"CETP","B4DMZ5"
"IGF2R","P11717"
"COL6A3","D9ZGF2"
"COL6A3","P12111"
"COL6A3","Q63HQ4"
"COL6A3","Q8N4Z1"
"COL6A3","B7ZW00"
"F5","P12259"
"MYH7","P12883"
"NCAM1","P13591"
"NCAM1","A0A087WWD4"
"C6","P13671"
"LCP1","A0A024RDT4"
"LCP1","P13796"
"SELL","P14151"
"CPN1","P15169"
"DSP","B4DKX6"
"DSP","P15924"
"DSP","Q4LE79"
"IGFBP3","B3KPF0"
"IGFBP3","P17936"
"VCL","A0A024QZN4"
"VCL","B3KXA2"
"VCL","P18206"
"VCL","V9HWK2"
"LBP","P18428"
"LBP","Q8TCF0"
"ORM2","P19652"
"ITIH2","P19823"
"ITIH1","P19827"
"ITIH1","B7Z8B6"
"TYMP","B2RBL3"
"TYMP","E5KRG5"
"TYMP","P19971"
"PZP",NA
"C4BPB","P20851"
"FLNA","P21333"
"FLNA","Q60FE5"
"FLNA","Q6NXF2"
"SCP2","P22307"
"SCP2","Q59HG9"
"SCP2","E9PLD1"
"SCP2","B2R761"
"GPX3","P22352"
"CPN2","P22792"
"PROZ","P22891"
"HV102",NA
"FBLN1","P23142"
"FBLN1","Q8NBH6"
"FBLN1.1",NA
"AZGP1","A0A140VK00"
"AZGP1","P25311"
"ATP5A1",NA
"MSN","P26038"
"MSN","V9HWC0"
"MST1","G3XAK1"
"MST1","P26927"
"MST1","Q53GN8"
"PON1","P27169"
"MAP4","P27816"
"CFP","A0A0S2Z4I5"
"CFP","P27918"
"SERPINA4","P29622"
"SERPINA4","A0A024R6I9"
"PRDX2","P32119"
"PRDX2","V9HW12"
"SAA4","P35542"
"MYH9","A0A024R1N1"
"MYH9","P35579"
"IGFALS","P35858"
"IGFALS","Q8TAY0"
"SERPINF1","A0A140VKF3"
"SERPINF1","P36955"
"CFHR2","P36980"
"TAGLN2","P37802"
"GP5","P40197"
"ACAA2","B3KNP8"
"ACAA2","P42765"
"MCAM","A0A024R3I5"
"MCAM","P43121"
"BTD","P43251"
"AFM","P43652"
"CAPZB","P47756"
"CAPZB","Q7L4N0"
"CAPZB","B1AK85"
"CAPZB","B1AK88"
"CAPZB","B4DWA6"
"MASP1","P48740"
"MASP1","F8W876"
"COMP","P49747"
"SEPP1",NA
"CAMP","J3KNB4"
"CAMP","P49913"
"LUM","P51884"
"HNRNPM","Q59ES8"
"HNRNPM","P52272"
"CRISP3","P54108"
"APOC4","P55056"
"PLTP","P55058"
"INHBC","P55103"
"LYZ","B2R4C5"
"LYZ","P61626"
"B2M","P61769"
"TPM4","P67936"
"TPM4","V9HW56"
"ACTA1","P68133"
"HBB","D9YZU5"
"HBB","P68871"
"HBA1","D1MGQ2"
"HBA1","P69905"
"GPLD1","P80108"
"LV321.1",NA
"CFHR1","Q03591"
"KRT17","Q04695"
"KRT17","Q14666"
"HGFAC","D6RAR4"
"HGFAC","Q04756"
"ITIH3","Q06033"
"LGALS3BP","A0A0S2Z3Y1"
"LGALS3BP","Q08380"
"EFEMP1","A0A0S2Z4F1"
"EFEMP1","B2R6M6"
"EFEMP1","Q12805"
"EFEMP1","A0A0S2Z3V1"
"MMRN1","Q13201"
"ILK","Q13418"
"ILK","V9HWF0"
"APOF","Q13790"
"DYNC1H1","Q14204"
"MYBPC2","A0A140VJQ0"
"MYBPC2","Q14324"
"HABP2","Q14520"
"ITIH4","B7ZKJ8"
"ITIH4","Q14624"
"ITIH4","B2RMS9"
"ARHGAP19","Q14CB8"
"PCOLCE","Q15113"
"PON3","Q15166"
"FCN2","Q15485"
