"","class","center","number"
"205","proteomics",62,185
"206","proteomics",63,181
"207","proteomics",64,182
"208","proteomics",65,191
"209","skin_microbiome",40,166
"210","skin_microbiome",41,166
"211","skin_microbiome",42,183
"212","skin_microbiome",43,184
"213","skin_microbiome",44,180
"214","skin_microbiome",45,181
"215","skin_microbiome",46,182
"216","skin_microbiome",47,177
"217","skin_microbiome",48,160
"218","skin_microbiome",49,146
"219","skin_microbiome",50,134
"220","skin_microbiome",51,124
"221","skin_microbiome",52,129
"222","skin_microbiome",53,127
"223","skin_microbiome",54,138
"224","skin_microbiome",55,126
"225","skin_microbiome",56,144
"226","skin_microbiome",57,147
"227","skin_microbiome",58,149
"228","skin_microbiome",59,144
"229","skin_microbiome",60,138
"230","skin_microbiome",61,123
"231","skin_microbiome",62,128
"232","skin_microbiome",63,129
"233","skin_microbiome",64,138
"234","skin_microbiome",65,153
"235","transcriptome",40,6346
"236","transcriptome",41,6575
"237","transcriptome",42,6889
"238","transcriptome",43,7055
"239","transcriptome",44,7043
"240","transcriptome",45,6923
"241","transcriptome",46,6710
"242","transcriptome",47,6434
"243","transcriptome",48,6285
"244","transcriptome",49,6181
"245","transcriptome",50,6137
"246","transcriptome",51,6024
"247","transcriptome",52,5686
"248","transcriptome",53,5398
"249","transcriptome",54,5153
"250","transcriptome",55,5230
"251","transcriptome",56,5591
"252","transcriptome",57,6010
"253","transcriptome",58,6262
"254","transcriptome",59,6339
"255","transcriptome",60,6424
"256","transcriptome",61,6465
"257","transcriptome",62,6356
"258","transcriptome",63,5916
"259","transcriptome",64,5278
"260","transcriptome",65,5006
