	25_40	40_45	45_50	50_55	55_60	60_65	65_75.5
time	25_40	40_45	45_50	50_55	55_60	60_65	65_75.5
OTU_1	0.530840671757986	0.587886185574531	0.39939271713015	0.330598806634831	0.624700547554093	0.493728125524269	0.37989866640841
OTU_2	0.00766625765113303	0.028270935897197	0.0620689345727514	0.0743023128566109	0.032560833910934	0.0294537897724822	0.00488566278443024
OTU_3	0.181972229223259	0.15997121844793	0.126452877667598	0.0876905658511207	0.116619761702138	0.226528401841986	0.22463402639182
OTU_4	0.0215794578681626	0.0022441136710564	0.0351995653591147	0.0634746217201522	0.0146392122676156	0.00430980796238017	0.0561737589897202
OTU_5	0.0274234825269528	0.00111863863671903	0.0449723795571698	0.0864700203777598	0.0179350027886258	0.0027563558291146	0.0270286669963872
OTU_6	0.0159519413967575	0.00590881990724663	0.0439910799780255	0.0692771225419325	0.0140829987976796	0.00380616220287761	0.0186210136899253
OTU_7	0.00143036352734604	0.00129923285799221	0.000392458113656417	7.86875781142294e-06	0.000123013913768648	0.000188465561456343	0.00022019909331031
OTU_10	0.0112786691926195	0.00395418450354629	0.0253565843971314	0.0372849158324715	0.0168391475257596	0.0229991777316777	0.0285564110094183
OTU_14	0.00437590925196917	0.000792036509751426	0.00917027151162713	0.0151366243381589	0.00334285981019206	0.00287591015357631	0.00618112382409442
OTU_15	0.000670048413351046	0.00320726063121157	0.00401472693415928	0.00224588542435949	0.000573231634210234	0.00103931241857711	0.00137457652234426
OTU_17	0.00133013682699353	0.00965743385617278	0.0144122305563832	0.0102449208099511	0.0127459672318	0.0205893620461897	0.0138407663919892
OTU_18	0.000473587465653052	0.00167567266662037	0.00365666491711374	0.00315789678299666	0.000171997080879498	0.000313065080831029	0.00612805984856383
OTU_21	0.00318731824515685	0.000210930734491085	0.00547439098194792	0.00996845068359962	0.00194023526705976	0.000268723892717057	0.00279676210652675
OTU_22	0.0564190708070394	0.0825230231464019	0.0637953801555751	0.0326966227899565	0.0268181850814634	0.0358238819819627	0.0358330680436825
OTU_24	5.17121184637321e-05	5.10392273920025e-05	0.000126517469130758	0.000151868657329095	0.000229473587528394	0.000523754019961719	0.00341342587847358
OTU_25	8.55385464439664e-05	0.000205476300722952	0.000226174879093213	0.000361339328832922	0.000167434770259064	0.000771837050016045	0.00350963337020377
OTU_31	0.0180005096615246	0.000554947137899801	0.0286897510872081	0.0554127092170322	0.0160725898208607	0.0142103271132993	0.0086080384219176
OTU_32	0.00228323310769524	0.000571383727859373	0.00529930356146994	0.00844017610386377	0.00185181906211141	0.00154052546305754	0.00334868245832927
OTU_34	0.000205618986809317	1.78962940432014e-05	0.000386639727324143	0.000688001479514508	0.000131415485186815	0.000227930033288255	0.00157150306223314
OTU_36	0.0132335720947886	0.0490537879915812	0.0549256508043798	0.0439938157609173	0.0455297572254972	0.0771718981355424	0.0753219417007059
OTU_37	0.00185857231078048	0.000421885072606349	0.00105173077208585	0.001172410745823	0.000514549350588235	3.33988483414205e-05	6.72552434540528e-05
OTU_40	0.000235826691313825	0.000312923412653778	0.000122908321456581	2.75350156157319e-05	4.41654528777119e-05	6.55317082121046e-05	0.000240928391625212
OTU_41	0.000391546228882985	4.44390331247359e-05	0.000570237849476518	0.00098414538131099	0.00022592362328163	0.000215581915148098	0.00156123024066404
OTU_47	7.29367675438605e-05	0.000176435235989341	0.000198194665073871	0.00100847657046131	1.88308014031845e-05	6.14803485805389e-05	5.57992360995774e-05
OTU_48	0.000125300820692759	0.000447685300517303	0.000518914312755235	0.000323379159114888	8.21543105578847e-05	0.000295888880320001	0.00174600585258229
OTU_49	0.00134641832505028	0.000204356461127403	0.00259095521149788	0.00436941043262662	0.000895651077982108	0.000651311793638541	0.00380664811829976
OTU_51	0.00114514626245295	4.06757210328369e-05	0.00168062814739517	0.00335670086194253	0.000960971001913319	0.000182143813715497	0.00173809202125287
OTU_53	0.000201329581607076	0.000821320152410827	0.000654977855531562	0.00104215320314146	7.20882960866918e-05	0.000284657559062916	0.000814517235384331
OTU_54	0.000264098585843167	0.000151663724281492	0.000814680118067737	0.00108092443666654	0.000141900230654329	9.88445964731538e-05	4.46816059764807e-05
OTU_57	0.0036303388745029	0.0163537203421963	0.0197467691671311	0.0118674037551566	0.00542469685482718	0.0143223751726711	0.0147474010846454
OTU_58	0.00010754864343462	4.70064906121598e-05	0.000198836378907942	0.000266788855826438	6.96898737546715e-05	9.34221408421282e-05	0.000442143493405895
OTU_61	0.000128472281851745	0.000287600295666252	0.000169224667121979	1.67354762385454e-05	2.09111970616949e-05	3.40573936380125e-05	3.51814574489178e-06
OTU_62	0.00245584887742261	0.00549306644545298	0.00801360919637997	0.00546616407222219	0.00553309006545714	0.0111521520295742	0.008949384630739
OTU_63	0.000546089256998556	7.18548046662411e-05	0.00105614769768074	0.00181217282467215	0.000358779751723604	0.000123025933163862	0.00235967132665533
OTU_65	0.000366574402245683	0.000122871854132942	0.000975417513648505	0.0014586583668852	0.000262743461881577	0.000112201517768141	0.00109113682336195
OTU_68	7.49737895440389e-05	0.000118589770952641	0.000158469729054991	0.00014439107353472	4.9809377959835e-05	0.000145037498278959	0.000271526847486256
OTU_69	0.000206862270216788	0.000493438137065348	0.00148534962633905	0.00126745096651849	3.83534495879408e-05	0.00014553093605947	0.000215971160028116
OTU_70	6.95962055178632e-05	4.85169940941023e-05	0.000262889715648685	0.000338914227369981	3.7876594362339e-05	9.14526013679408e-05	0.000908518428868884
